球员编号,姓名(英文),场上位置(大类),场上位置(细分),惯用脚,身高_cm,国籍(国际),出生日期,转会时年龄,国籍(转会源),位置(转会源)
286384,Eric Bailly,Defender,Centre-Back,right,187.0,Cote d'Ivoire,1994-04-12 00:00:00,22.0,Cote d'Ivoire,CB
232271,Sofiane Boufal,Midfield,Attacking Midfield,right,175.0,Morocco,1993-09-17 00:00:00,22.0,Morocco,LW
95976,Alex McCarthy,Goalkeeper,Goalkeeper,right,193.0,England,1989-12-03 00:00:00,26.0,England,GK
45403,Andre Ayew,Attack,Centre-Forward,left,175.0,Ghana,1989-12-17 00:00:00,26.0,Ghana,LW
200512,Sadio Mane,Attack,Left Winger,right,175.0,Senegal,1992-04-10 00:00:00,24.0,Senegal,LW
85864,Loris Karius,Goalkeeper,Goalkeeper,right,191.0,Germany,1993-06-22 00:00:00,23.0,Germany,GK
26669,Ragnar Klavan,Defender,Centre-Back,left,187.0,Estonia,1985-10-30 00:00:00,30.0,Estonia,CB
179184,Michy Batshuayi,Attack,Centre-Forward,right,185.0,Belgium,1993-10-02 00:00:00,22.0,Belgium,CF
46741,David Luiz,Defender,Centre-Back,right,189.0,Brazil,1987-04-22 00:00:00,29.0,Brazil,CB
112515,Marcos Alonso,Defender,Centre-Back,left,188.0,Spain,1990-12-28 00:00:00,25.0,Spain,LB
75471,Yannick Bolasie,Attack,Centre-Forward,right,185.0,DR Congo,1989-05-24 00:00:00,27.0,DR Congo,LW
67355,Ashley Williams,Defender,Centre-Back,right,183.0,Wales,1984-08-23 00:00:00,31.0,Wales,CB
85324,Borja Baston,Attack,Centre-Forward,right,186.0,Spain,1992-08-25 00:00:00,23.0,Spain,CF
35564,Fernando Llorente,Attack,Centre-Forward,right,195.0,Spain,1985-02-26 00:00:00,31.0,Spain,CF
295331,Isaac Success,Attack,Centre-Forward,right,182.0,Nigeria,1996-01-07 00:00:00,20.0,Nigeria,CF
112302,Roberto Pereyra,Midfield,Central Midfield,both,182.0,Argentina,1991-01-07 00:00:00,25.0,Argentina,AM
93690,Brice Dja Djedje,Midfield,Defensive Midfield,right,176.0,Cote d'Ivoire,1990-12-23 00:00:00,25.0,Cote d'Ivoire,DM
59631,Nacer Chadli,Attack,Left Winger,right,187.0,Belgium,1989-08-02 00:00:00,27.0,Belgium,LW
111508,Allan Nyom,Defender,Right-Back,right,189.0,Cameroon,1988-05-10 00:00:00,28.0,Cameroon,RB
61592,James Tomkins,Defender,Centre-Back,right,192.0,England,1989-03-29 00:00:00,27.0,England,CB
195652,Jordon Ibe,Attack,Right Winger,right,176.0,England,1995-12-08 00:00:00,20.0,England,RW
175745,Brad Smith,Defender,Left-Back,left,178.0,Australia,1994-04-09 00:00:00,22.0,Australia,LB
30456,Marc Wilson,Defender,Centre-Back,both,188.0,Ireland,1987-08-17 00:00:00,28.0,Ireland,CB
210081,Didier Ndong,Midfield,Central Midfield,right,179.0,Gabon,1994-06-17 00:00:00,22.0,Gabon,CM
167268,Paddy McNair,Defender,Centre-Back,right,189.0,Northern Ireland,1995-04-27 00:00:00,21.0,Northern Ireland,CB
133179,Marten de Roon,Midfield,Defensive Midfield,right,186.0,Netherlands,1991-03-29 00:00:00,25.0,Netherlands,DM
32522,Antonio Barragan,Defender,Right-Back,right,186.0,Spain,1987-06-12 00:00:00,29.0,Spain,RB
61834,Ryan Mason,Midfield,Central Midfield,right,175.0,England,1991-06-13 00:00:00,25.0,England,CM
118535,Will Keane,Attack,Centre-Forward,right,188.0,Ireland,1993-01-11 00:00:00,23.0,Ireland,CF
112343,Manolo Gabbiadini,Attack,Centre-Forward,left,186.0,Italy,1991-11-26 00:00:00,25.0,Italy,CF
22614,Robert Snodgrass,Attack,Right Winger,left,182.0,Scotland,1987-09-07 00:00:00,29.0,Scotland,RW
33829,Jose Fonte,Defender,Centre-Back,right,191.0,Portugal,1983-12-22 00:00:00,33.0,Portugal,CB
128897,Saido Berahino,Attack,Centre-Forward,right,180.0,Burundi,1993-08-04 00:00:00,23.0,Burundi,CF
121279,Tom Carroll,Midfield,Central Midfield,left,177.0,England,1992-05-28 00:00:00,24.0,England,CM
26456,Mauro Zarate,Attack,Centre-Forward,right,175.0,Argentina,1987-03-18 00:00:00,29.0,Argentina,CF
157506,Jeffrey Schlupp,Midfield,Left Midfield,left,178.0,Ghana,1992-12-23 00:00:00,24.0,Ghana,LM
42413,Darron Gibson,Midfield,Central Midfield,right,183.0,Ireland,1987-10-25 00:00:00,29.0,Ireland,CM
124983,Bryan Oviedo,Defender,Left-Back,left,172.0,Costa Rica,1990-02-18 00:00:00,26.0,Costa Rica,LB
183334,Patrick Bamford,Attack,Centre-Forward,left,185.0,England,1993-09-05 00:00:00,23.0,England,CF
74768,Adlene Guedioura,Midfield,Central Midfield,right,178.0,Algeria,1985-11-12 00:00:00,31.0,Algeria,CM
37920,Kamil Grosicki,Attack,Left Winger,right,180.0,Poland,1988-06-08 00:00:00,28.0,Poland,LW
128223,Alvaro Morata,Attack,Centre-Forward,right,189.0,Spain,1992-10-23 00:00:00,24.0,Spain,CF
182618,Tiemoue Bakayoko,Midfield,Defensive Midfield,right,189.0,France,1994-08-17 00:00:00,22.0,France,DM
73491,Danny Drinkwater,Midfield,Central Midfield,right,178.0,England,1990-03-05 00:00:00,27.0,England,CM
86202,Antonio Rudiger,Defender,Centre-Back,right,190.0,Germany,1993-03-03 00:00:00,24.0,Germany,CB
173859,Davide Zappacosta,Midfield,Right Midfield,right,182.0,Italy,1992-06-11 00:00:00,25.0,Italy,RB
127032,Serge Aurier,Defender,Right-Back,right,176.0,Cote d'Ivoire,1992-12-24 00:00:00,24.0,Cote d'Ivoire,RB
157495,Benjamin Mendy,Defender,Left-Back,left,185.0,France,1994-07-17 00:00:00,23.0,France,LB
95424,Kyle Walker,Defender,Right-Back,right,183.0,England,1990-05-28 00:00:00,27.0,England,RB
241641,Bernardo Silva,Midfield,Attacking Midfield,left,173.0,Portugal,1994-08-10 00:00:00,22.0,Portugal,AM
32816,Danilo,Defender,Centre-Back,right,185.0,Brazil,1984-05-10 00:00:00,26.0,Brazil,RB
148455,Mohamed Salah,Attack,Right Winger,left,175.0,Egypt,1992-06-15 00:00:00,25.0,Egypt,RW
143424,Alex Oxlade-Chamberlain,Midfield,Central Midfield,right,180.0,England,1993-08-15 00:00:00,24.0,England,CM
93720,Alexandre Lacazette,Attack,Centre-Forward,right,175.0,France,1991-05-28 00:00:00,26.0,France,CF
74683,Nemanja Matic,Midfield,Defensive Midfield,left,194.0,Serbia,1988-08-01 00:00:00,28.0,Serbia,DM
118534,Michael Keane,Defender,Centre-Back,right,188.0,England,1993-01-11 00:00:00,24.0,England,CB
199369,Sandro Ramirez,Attack,Centre-Forward,right,174.0,Spain,1995-07-09 00:00:00,21.0,Spain,CF
170934,Mario Lemina,Midfield,Defensive Midfield,right,184.0,Gabon,1993-09-01 00:00:00,23.0,Gabon,DM
253765,Wesley Hoedt,Defender,Centre-Back,left,193.0,Netherlands,1994-03-06 00:00:00,23.0,Netherlands,CB
177476,Nathan Ake,Defender,Centre-Back,left,180.0,Netherlands,1995-02-18 00:00:00,22.0,Netherlands,CB
341317,Oliver Burke,Attack,Centre-Forward,right,188.0,Scotland,1997-04-07 00:00:00,20.0,Scotland,CF
53360,Jay Rodriguez,Attack,Centre-Forward,right,185.0,England,1989-07-29 00:00:00,27.0,England,CF
44792,Kieran Gibbs,Defender,Left-Back,left,181.0,England,1989-09-26 00:00:00,27.0,England,LB
3291,Gareth Barry,Midfield,Defensive Midfield,left,184.0,England,1981-02-23 00:00:00,36.0,England,DM
50935,Chicharito,Attack,Centre-Forward,right,175.0,Mexico,1988-06-01 00:00:00,29.0,Mexico,CF
295330,Kelechi Iheanacho,Attack,Centre-Forward,left,185.0,Nigeria,1996-10-03 00:00:00,20.0,Nigeria,CF
65467,Vicente Iborra,Midfield,Defensive Midfield,right,190.0,Spain,1988-01-16 00:00:00,29.0,Spain,CM
202984,Roque Mesa,Midfield,Central Midfield,right,172.0,Spain,1989-06-07 00:00:00,28.0,Spain,CM
173483,Nahki Wells,Attack,Centre-Forward,right,170.0,Bermuda,1990-06-01 00:00:00,27.0,Bermuda,CF
3306,Jonathan Walters,Attack,Right Winger,right,183.0,Ireland,1983-09-20 00:00:00,33.0,Ireland,RW
15773,Phil Bardsley,Defender,Right-Back,right,180.0,Scotland,1985-06-28 00:00:00,32.0,Scotland,RB
120565,Andre Gray,Attack,Centre-Forward,right,178.0,Jamaica,1991-06-26 00:00:00,26.0,Jamaica,CF
73484,Tom Cleverley,Midfield,Central Midfield,right,175.0,England,1989-08-12 00:00:00,27.0,England,CM
128900,Nathaniel Chalobah,Midfield,Defensive Midfield,right,185.0,England,1994-12-12 00:00:00,22.0,England,DM
127108,Florian Lejeune,Defender,Centre-Back,right,190.0,France,1991-05-20 00:00:00,26.0,France,CB
186997,Christian Atsu,Attack,Left Winger,left,165.0,Ghana,1992-01-10 00:00:00,25.0,Ghana,LW
162029,Javier Manquillo,Defender,Right-Back,right,178.0,Spain,1994-05-05 00:00:00,23.0,Spain,RB
128969,Mathew Ryan,Goalkeeper,Goalkeeper,right,184.0,Australia,1992-04-08 00:00:00,25.0,Australia,GK
238639,Steve Mounie,Attack,Centre-Forward,right,189.0,Benin,1994-09-29 00:00:00,22.0,Benin,CF
123951,Aaron Mooy,Midfield,Central Midfield,right,174.0,Australia,1990-09-15 00:00:00,26.0,Australia,CM
39073,Emerson,Defender,Left-Back,left,187.0,Brazil,1986-02-23 00:00:00,23.0,Italy,LB
131978,Ross Barkley,Midfield,Central Midfield,right,189.0,England,1993-12-05 00:00:00,24.0,England,CM
77100,Lucas Moura,Attack,Right Winger,right,172.0,Brazil,1992-08-13 00:00:00,25.0,Brazil,RW
176553,Aymeric Laporte,Defender,Centre-Back,left,191.0,Spain,1994-05-27 00:00:00,23.0,Spain,CB
139208,Virgil van Dijk,Defender,Centre-Back,right,195.0,Netherlands,1991-07-08 00:00:00,26.0,Netherlands,CB
58864,Pierre-Emerick Aubameyang,Attack,Centre-Forward,right,187.0,Gabon,1989-06-18 00:00:00,28.0,Gabon,CF
33713,Theo Walcott,Attack,Right Winger,both,175.0,England,1989-03-16 00:00:00,28.0,England,RW
184672,Guido Carrillo,Attack,Centre-Forward,right,187.0,Argentina,1991-05-25 00:00:00,26.0,Argentina,CF
171424,Riyad Mahrez,Attack,Right Winger,left,179.0,Algeria,1991-02-21 00:00:00,27.0,Algeria,RW
105470,Alisson,Goalkeeper,Goalkeeper,right,193.0,Brazil,1992-10-02 00:00:00,25.0,Brazil,GK
302215,Naby Keita,Midfield,Central Midfield,right,172.0,Guinea,1995-02-10 00:00:00,23.0,Guinea,CM
163058,Fabinho,Missing,,left,178.0,Brazil,1991-04-28 00:00:00,24.0,Brazil,DM
192279,Kepa Arrizabalaga,Goalkeeper,Goalkeeper,right,188.0,Spain,1994-10-03 00:00:00,23.0,Spain,GK
102017,Jorginho,Midfield,Defensive Midfield,right,180.0,Italy,1991-12-20 00:00:00,26.0,Italy,DM
318077,Lucas Torreira,Midfield,Defensive Midfield,right,166.0,Uruguay,1996-02-11 00:00:00,22.0,Uruguay,DM
72476,Bernd Leno,Goalkeeper,Goalkeeper,right,190.0,Germany,1992-03-04 00:00:00,26.0,Germany,GK
34322,Sokratis Papastathopoulos,Defender,Centre-Back,right,186.0,Greece,1988-06-09 00:00:00,30.0,Greece,CB
40204,Joe Hart,Goalkeeper,Goalkeeper,right,196.0,England,1987-04-19 00:00:00,31.0,England,GK
378710,Richarlison,Attack,Centre-Forward,right,184.0,Brazil,1997-05-10 00:00:00,21.0,Brazil,CF
289446,Yerry Mina,Defender,Centre-Back,right,195.0,Colombia,1994-09-23 00:00:00,23.0,Colombia,CB
126664,Lucas Digne,Defender,Left-Back,left,178.0,France,1993-07-20 00:00:00,25.0,France,LB
320141,Caglar Soyuncu,Defender,Centre-Back,both,185.0,Türkiye,1996-05-23 00:00:00,22.0,Turkey,CB
118287,Rachid Ghezzal,Attack,Right Winger,left,182.0,Algeria,1992-05-09 00:00:00,26.0,Algeria,RW
124172,Danny Ward,Attack,Centre-Forward,left,180.0,England,1990-12-09 00:00:00,25.0,Wales,GK
230541,Yoshinori Muto,Attack,Centre-Forward,right,179.0,Japan,1992-07-15 00:00:00,26.0,Japan,CF
338424,Mikel Merino,Midfield,Central Midfield,left,188.0,Spain,1996-06-22 00:00:00,22.0,Spain,CM
66934,Cheikhou Kouyate,Midfield,Defensive Midfield,right,189.0,Senegal,1989-12-21 00:00:00,28.0,Senegal,DM
262980,Jefferson Lerma,Midfield,Defensive Midfield,right,180.0,Colombia,1994-10-25 00:00:00,23.0,Colombia,DM
249513,Diego Rico,Defender,Left-Back,left,183.0,Spain,1993-02-23 00:00:00,25.0,Spain,LB
159372,Felipe Anderson,Attack,Left Winger,right,175.0,Brazil,1993-04-15 00:00:00,25.0,Brazil,LW
272622,Issa Diop,Defender,Centre-Back,right,194.0,Morocco,1997-01-09 00:00:00,21.0,France,CB
69015,Andriy Yarmolenko,Attack,Right Winger,left,189.0,Ukraine,1989-10-23 00:00:00,28.0,Ukraine,RW
286949,Adam Masina,Defender,Centre-Back,left,191.0,Morocco,1994-01-02 00:00:00,24.0,Morocco,LB
335245,Marc Navarro,Midfield,Right Midfield,right,188.0,Spain,1995-07-02 00:00:00,22.0,Spain,RB
391719,Domingos Quina,Midfield,Central Midfield,right,173.0,Portugal,1999-11-18 00:00:00,18.0,Portugal,CM
410425,Yves Bissouma,Midfield,Defensive Midfield,right,182.0,Mali,1996-08-30 00:00:00,21.0,Mali,CM
364258,Bernardo,Defender,Left-Back,left,186.0,Brazil,1995-05-14 00:00:00,23.0,Brazil,LB
68645,Martin Montoya,Defender,Right-Back,right,175.0,Spain,1991-04-14 00:00:00,27.0,Spain,RB
61814,David Button,Goalkeeper,Goalkeeper,right,191.0,England,1989-02-27 00:00:00,29.0,England,GK
152651,Terence Kongolo,Defender,Centre-Back,left,188.0,Netherlands,1994-02-14 00:00:00,24.0,Netherlands,CB
453594,Adama Diakhaby,Midfield,Central Midfield,left,184.0,France,1996-07-05 00:00:00,22.0,France,LW
48870,Jonas Lossl,Goalkeeper,Goalkeeper,right,195.0,Denmark,1989-02-01 00:00:00,29.0,Denmark,GK
99331,Jannik Vestergaard,Defender,Centre-Back,both,199.0,Denmark,1992-08-03 00:00:00,25.0,Denmark,CB
201574,Angus Gunn,Goalkeeper,Goalkeeper,right,196.0,Scotland,1996-01-22 00:00:00,22.0,England,GK
340950,Diogo Jota,Attack,Left Winger,right,178.0,Portugal,1996-12-04 00:00:00,21.0,Portugal,LW
110858,Benik Afobe,Attack,Centre-Forward,right,183.0,DR Congo,1993-02-12 00:00:00,25.0,DR Congo,CF
29364,Joao Moutinho,Midfield,Central Midfield,right,170.0,Portugal,1986-09-08 00:00:00,31.0,Portugal,CM
357158,Ruben Vinagre,Midfield,Left Midfield,left,174.0,Portugal,1999-04-09 00:00:00,19.0,Portugal,LB
178614,Jean Michael Seri,Midfield,Defensive Midfield,right,168.0,Cote d'Ivoire,1991-07-19 00:00:00,26.0,Cote d'Ivoire,CM
51152,Aleksandar Mitrovic,Attack,Centre-Forward,right,189.0,Serbia,1994-09-16 00:00:00,23.0,Serbia,CF
60558,Maxime Le Marchand,Defender,Centre-Back,left,185.0,France,1989-10-11 00:00:00,28.0,France,CB
315779,Christian Pulisic,Attack,Right Winger,right,177.0,United States,1998-09-18 00:00:00,20.0,United States,RW
258889,Dominic Solanke,Attack,Centre-Forward,right,186.0,England,1997-09-14 00:00:00,21.0,England,CF
175446,Jonny Otto,Defender,Right-Back,both,175.0,Spain,1994-03-03 00:00:00,24.0,Spain,LB
182712,Joao Cancelo,Defender,Right-Back,right,182.0,Portugal,1994-05-27 00:00:00,25.0,Portugal,RB
8163,Rodri,Defender,Centre-Back,right,185.0,Spain,1984-08-17 00:00:00,23.0,Spain,DM
51471,Mateo Kovacic,Midfield,Central Midfield,right,178.0,Croatia,1994-05-06 00:00:00,25.0,Croatia,CM
450936,Tanguy Ndombele,Midfield,Central Midfield,right,181.0,France,1996-12-28 00:00:00,22.0,France,CM
343052,Nicolas Pepe,Attack,Right Winger,left,183.0,Cote d'Ivoire,1995-05-29 00:00:00,24.0,Cote d'Ivoire,RW
495666,William Saliba,Defender,Centre-Back,right,192.0,France,2001-03-24 00:00:00,18.0,France,CB
177907,Harry Maguire,Defender,Centre-Back,right,194.0,England,1993-03-05 00:00:00,26.0,England,CB
477758,Aaron Wan-Bissaka,Defender,Right-Back,right,183.0,DR Congo,1997-11-26 00:00:00,21.0,England,RB
265078,Patrick Cutrone,Attack,Centre-Forward,right,183.0,Italy,1998-01-03 00:00:00,21.0,Italy,CF
487465,Pedro Neto,Attack,Right Winger,left,174.0,Portugal,2000-03-09 00:00:00,19.0,Portugal,LW
415646,Bruno Jordao,Midfield,Defensive Midfield,right,180.0,Portugal,1998-10-12 00:00:00,20.0,Portugal,CM
242631,Alex Iwobi,Attack,Left Winger,right,183.0,Nigeria,1996-05-03 00:00:00,23.0,Nigeria,LW
364135,Moise Kean,Attack,Centre-Forward,right,183.0,Italy,2000-02-28 00:00:00,19.0,Italy,CF
182894,Jean-Philippe Gbamin,Defender,Centre-Back,right,186.0,Cote d'Ivoire,1995-09-25 00:00:00,23.0,Cote d'Ivoire,DM
221025,Andre Gomes,Midfield,Central Midfield,right,190.0,Portugal,1993-07-30 00:00:00,25.0,Portugal,CM
249565,Youri Tielemans,Midfield,Central Midfield,right,176.0,Belgium,1997-05-07 00:00:00,22.0,Belgium,CM
246968,Ayoze Perez,Attack,Centre-Forward,right,178.0,Spain,1993-07-29 00:00:00,25.0,Spain,SS
129588,Dennis Praet,Midfield,Central Midfield,right,181.0,Belgium,1994-05-14 00:00:00,25.0,Belgium,CM
181375,Sebastien Haller,Attack,Centre-Forward,right,190.0,Cote d'Ivoire,1994-06-22 00:00:00,25.0,Cote d'Ivoire,CF
357885,Pablo Fornals,Midfield,Central Midfield,right,178.0,Spain,1996-02-22 00:00:00,23.0,Spain,AM
410225,Ismaila Sarr,Attack,Right Winger,right,185.0,Senegal,1998-02-25 00:00:00,21.0,Senegal,RW
45333,James McCarthy,Midfield,Central Midfield,right,180.0,Ireland,1990-11-12 00:00:00,28.0,Ireland,CM
333241,Joelinton,Midfield,Central Midfield,right,186.0,Brazil,1996-08-14 00:00:00,22.0,Brazil,CF
272642,Allan Saint-Maximin,Attack,Left Winger,right,173.0,France,1997-03-12 00:00:00,22.0,France,LW
184528,Emil Krafth,Defender,Right-Back,right,184.0,Sweden,1994-08-02 00:00:00,25.0,Sweden,RB
134294,Danny Ings,Attack,Centre-Forward,right,177.0,England,1992-07-23 00:00:00,26.0,England,CF
236953,Sam Byram,Defender,Left-Back,right,183.0,England,1993-09-16 00:00:00,25.0,England,RB
291422,Lys Mousset,Attack,Centre-Forward,right,186.0,France,1996-02-08 00:00:00,23.0,France,CF
253677,Tyrone Mings,Defender,Centre-Back,left,196.0,England,1993-03-13 00:00:00,26.0,England,CB
447661,Douglas Luiz,Midfield,Central Midfield,right,177.0,Brazil,1998-05-09 00:00:00,21.0,Brazil,DM
250478,Matt Targett,Defender,Left-Back,left,183.0,England,1995-09-18 00:00:00,23.0,England,LB
183720,Anwar El Ghazi,Attack,Right Winger,right,189.0,Netherlands,1995-05-03 00:00:00,24.0,Netherlands,RW
34130,Tom Heaton,Goalkeeper,Goalkeeper,right,188.0,England,1986-04-15 00:00:00,33.0,England,GK
193469,Bjorn Engels,Defender,Centre-Back,right,195.0,Belgium,1994-09-15 00:00:00,24.0,Belgium,CB
233124,Kortney Hause,Defender,Centre-Back,left,191.0,England,1995-07-16 00:00:00,23.0,England,CB
283528,Ignacio Pussetto,Attack,Centre-Forward,right,180.0,Argentina,1995-12-21 00:00:00,24.0,Argentina,RW
82863,Lukas Rupp,Midfield,Central Midfield,right,178.0,Germany,1991-01-08 00:00:00,29.0,Germany,CM
230784,Thomas Partey,Midfield,Defensive Midfield,right,185.0,Ghana,1993-06-13 00:00:00,27.0,Ghana,DM
79242,Gabriel,Goalkeeper,Goalkeeper,right,194.0,Brazil,1992-09-27 00:00:00,22.0,Brazil,CB
205657,Runar Alex Runarsson,Goalkeeper,Goalkeeper,right,186.0,Iceland,1995-02-18 00:00:00,25.0,Iceland,GK
131996,Bertrand Traore,Attack,Right Winger,left,181.0,Burkina Faso,1995-09-06 00:00:00,25.0,Burkina Faso,RW
111873,Emiliano Martinez,Goalkeeper,Goalkeeper,right,195.0,Argentina,1992-09-02 00:00:00,28.0,Argentina,GK
49755,Dale Stephens,Midfield,Central Midfield,right,185.0,England,1989-06-12 00:00:00,31.0,England,CM
309400,Kai Havertz,Attack,Centre-Forward,left,193.0,Germany,1999-06-11 00:00:00,21.0,Germany,AM
170527,Timo Werner,Attack,Centre-Forward,right,180.0,Germany,1996-03-06 00:00:00,24.0,Germany,CF
316125,Ben Chilwell,Defender,Left-Back,left,180.0,England,1996-12-21 00:00:00,23.0,England,LB
442531,Edouard Mendy,Goalkeeper,Goalkeeper,right,194.0,Senegal,1992-03-01 00:00:00,28.0,Senegal,GK
126422,Allan,Midfield,Defensive Midfield,right,175.0,Brazil,1991-01-08 00:00:00,29.0,Brazil,CM
149237,Anthony Knockaert,Attack,Right Winger,left,172.0,France,1991-11-20 00:00:00,28.0,France,RW
226973,Harrison Reed,Midfield,Central Midfield,right,181.0,England,1995-01-27 00:00:00,25.0,England,CM
206746,Kenny Tete,Defender,Right-Back,right,180.0,Netherlands,1995-10-09 00:00:00,24.0,Netherlands,RB
258878,Tosin Adarabioyo,Defender,Centre-Back,right,197.0,England,1997-09-24 00:00:00,23.0,England,CB
131505,Rodrigo,Attack,Centre-Forward,left,182.0,Spain,1991-03-06 00:00:00,29.0,Spain,SS
246291,Diego Llorente,Defender,Centre-Back,right,186.0,Spain,1993-08-16 00:00:00,27.0,Spain,CB
411295,Raphinha,Attack,Left Winger,left,176.0,Brazil,1996-12-14 00:00:00,23.0,Brazil,RW
173900,Helder Costa,Attack,Right Winger,left,179.0,Angola,1994-01-12 00:00:00,26.0,Angola,RW
328784,Robin Koch,Defender,Centre-Back,right,192.0,Germany,1996-07-17 00:00:00,24.0,Germany,CB
542586,Illan Meslier,Goalkeeper,Goalkeeper,left,197.0,France,2000-03-02 00:00:00,20.0,France,GK
475411,Wesley Fofana,Defender,Centre-Back,right,188.0,France,2000-12-17 00:00:00,19.0,France,CB
262226,Timothy Castagne,Defender,Right-Back,right,185.0,Belgium,1995-12-05 00:00:00,24.0,Belgium,RB
37623,Thiago,Attack,Centre-Forward,right,171.0,Brazil,1988-10-22 00:00:00,29.0,Spain,CM
398184,Ferran Torres,Attack,Centre-Forward,right,183.0,Spain,2000-02-29 00:00:00,20.0,Spain,RW
341051,Kyle Walker-Peters,Defender,Right-Back,right,173.0,England,1997-04-13 00:00:00,23.0,England,RB
42506,Ibrahima Diallo,Defender,Left-Back,left,180.0,Guinea,1985-09-26 00:00:00,21.0,France,DM
563963,Mohammed Salisu,Defender,Centre-Back,left,188.0,Ghana,1999-04-17 00:00:00,21.0,Ghana,CB
348795,Giovani Lo Celso,Midfield,Attacking Midfield,left,177.0,Argentina,1996-04-09 00:00:00,24.0,Argentina,CM
282429,Sergio Reguilon,Defender,Left-Back,left,178.0,Spain,1996-12-16 00:00:00,23.0,Spain,LB
171679,Matt Doherty,Defender,Right-Back,right,185.0,Ireland,1992-01-16 00:00:00,28.0,Ireland,RB
342048,Grady Diangana,Attack,Right Winger,left,180.0,DR Congo,1998-04-19 00:00:00,22.0,England,LW
231572,Nelson Semedo,Defender,Right-Back,right,179.0,Portugal,1993-11-16 00:00:00,26.0,Portugal,RB
137745,Marcal,Defender,Left-Back,left,178.0,Brazil,1989-02-19 00:00:00,31.0,Brazil,LB
174094,Morgan Sanson,Midfield,Central Midfield,right,180.0,France,1994-08-18 00:00:00,26.0,France,CM
536835,Amad Diallo,Attack,Right Winger,left,173.0,Cote d'Ivoire,2002-07-11 00:00:00,18.0,Cote d'Ivoire,RW
335721,Ben White,Defender,Right-Back,right,186.0,England,1997-10-08 00:00:00,23.0,England,CB
316264,Martin degaard,Midfield,Attacking Midfield,left,178.0,Norway,1998-12-17 00:00:00,22.0,Norway,AM
331560,Takehiro Tomiyasu,Defender,Right-Back,right,187.0,Japan,1998-11-05 00:00:00,22.0,Japan,RB
321247,Emiliano Buendia,Attack,Left Winger,right,172.0,Argentina,1996-12-25 00:00:00,24.0,Argentina,RW
387626,Leon Bailey,Attack,Right Winger,left,178.0,Jamaica,1997-08-09 00:00:00,23.0,Jamaica,LW
388165,Yoane Wissa,Attack,Centre-Forward,right,176.0,DR Congo,1996-09-03 00:00:00,24.0,DR Congo,LW
284857,Marc Cucurella,Defender,Left-Back,left,173.0,Spain,1998-07-22 00:00:00,23.0,Spain,LM
234781,Maxwel Cornet,Attack,Left Winger,left,179.0,Cote d'Ivoire,1996-09-27 00:00:00,24.0,Cote d'Ivoire,LW
260827,Joachim Andersen,Defender,Centre-Back,right,192.0,Denmark,1996-05-31 00:00:00,25.0,Denmark,CB
207014,Will Hughes,Midfield,Central Midfield,left,185.0,England,1995-04-17 00:00:00,26.0,England,CM
292417,Demarai Gray,Attack,Left Winger,right,183.0,Jamaica,1996-06-28 00:00:00,25.0,England,LW
319301,Daniel James,Attack,Right Winger,right,171.0,Wales,1997-11-10 00:00:00,23.0,Wales,LW
374139,Junior Firpo,Defender,Left-Back,left,184.0,Dominican Republic,1996-08-22 00:00:00,24.0,Dominican Republic,LB
417346,Jack Harrison,Attack,Left Winger,left,175.0,England,1996-11-20 00:00:00,24.0,England,LW
344605,Boubakary Soumare,Midfield,Defensive Midfield,right,188.0,France,1999-02-27 00:00:00,22.0,France,DM
357119,Ibrahima Konate,Defender,Centre-Back,right,194.0,France,1999-05-25 00:00:00,22.0,France,CB
203460,Jack Grealish,Attack,Left Winger,right,180.0,England,1995-09-10 00:00:00,25.0,England,LW
401173,Jadon Sancho,Attack,Left Winger,right,180.0,England,2000-03-25 00:00:00,21.0,England,LW
164770,Raphael Varane,Defender,Centre-Back,right,191.0,France,1993-04-25 00:00:00,28.0,France,CB
8198,Cristiano Ronaldo,Attack,Centre-Forward,right,185.0,Portugal,1985-02-05 00:00:00,36.0,Portugal,CF
340329,Joe Willock,Midfield,Central Midfield,right,186.0,England,1999-08-20 00:00:00,21.0,England,CM
128904,Ben Gibson,Defender,Centre-Back,left,185.0,England,1993-01-15 00:00:00,28.0,England,CB
377393,Pierre Lees-Melou,Midfield,Defensive Midfield,right,185.0,France,1993-05-25 00:00:00,28.0,France,CM
318523,Romain Perraud,Defender,Left-Back,left,173.0,France,1997-09-22 00:00:00,23.0,France,LB
379807,Lyanco,Defender,Centre-Back,right,187.0,Brazil,1997-02-01 00:00:00,24.0,Brazil,CB
476344,Emerson Royal,Defender,Right-Back,right,183.0,Brazil,1999-01-14 00:00:00,22.0,Brazil,RB
537382,Bryan Gil,Attack,Left Winger,left,175.0,Spain,2001-02-11 00:00:00,20.0,Spain,LW
635336,Imran Louza,Midfield,Central Midfield,left,178.0,Morocco,1999-05-01 00:00:00,22.0,Morocco,CM
121477,Craig Dawson,Defender,Centre-Back,right,188.0,England,1990-05-06 00:00:00,31.0,England,CB
578391,Rayan Ait Nouri,Defender,Left-Back,left,180.0,Algeria,2001-06-06 00:00:00,20.0,France,LB
29124,Aritz Aduriz,Attack,Centre-Forward,right,181.0,Spain,1981-02-11 00:00:00,31.0,Spain,CF
141835,Alvaro Vazquez,Attack,Centre-Forward,right,182.0,Spain,1991-04-27 00:00:00,21.0,Spain,CF
